id,text,label
1,p图技术再练练吧 根本没本人好看,捧场
2,这个真喷不了 正脸像我老婆 侧脸像我老婆左上脸像我老婆 右上脸像我老婆 左下脸像我老婆右下脸像我老婆 头顶像我老婆发际线像我老婆 下颚线像我老婆,捧场
3,我是学生给我亲一口我求求你了我求求你了求求你了,捧场
4,对不起 我是故意刷到的 请不要缠上我的家人朋友 请缠上我❤️❤️🙏,捧场
5,我滴妈 你是要迷死我这个北京太子爷 资产过百亿美元 男的 很帅 土象 圈子小 三观正 会哄你 偶尔会有点小脾气 吵架会低头目前在马来西亚读博士明年去美国做导师的18岁男子吗？,捧场
6,恋吗 他们说菜就多恋 美女姐姐！看这！这里！！！Oi!Oi!Oi！（猛拍肚皮）Oi!Oi!Oi！（猛拍肚皮）Oi!Oi！,捧场
7,💗҈怦҈💗҈ ҈🥵҈我҈神҈魂҈颠҈倒҈🥵҈ ҈躁҈动҈的҈心҈❤҈️҈在҈放҈鞭҈炮҈🎉҈ ҈🥵҈神҈魂҈颠҈倒҈🥵҈ ҈🥵҈迷҈恋҈着҈你҈,捧场
8,姐姐好美(踢走其他小狗)(跑到面前摇尾巴)(又有其他小狗来)(和其他小狗打架)(踢走其他小狗)(满身伤痕摇尾巴),捧场
9,😍🤲🏻你完蛋了😌💍往后的日子你就等着吧😼👐🏻我从来没有这么喜欢一个人过😫❤️😉我真的是觉得😭😱我这一生就是为了来保护你的😉🤲🏻😽,捧场
10,⁶⁶⁶⁶⁶⁶ ⁶⁶ ₆₆₆₆这太美了吧₆₆₆₆⁶⁶⁶⁶⁶⁶被美晕⁶⁶666⁶⁶⁶⁶⁶⁶66⁶⁶⁶想嫁了⁶⁶⁶⁶⁶⁶ ⁶6666⁶⁶666₆₆₆₆₆666 ⁶⁶⁶⁶⁶⁶666666₆₆₆₆₆₆,捧场
11,你想发自拍就发，但你发自拍从来没有想过我的感受，你只知道发，却不知道我看到你自拍心里是多么愉悦、震撼、感动，你既然让我看到了公主就应该让我多看两眼，多发几张，你根本不懂，你只在意你自己。,捧场
12,这个喷不了，长的太爽了，拉子看了发神经，直女看了断月经，这简直是抑郁症的克星，植物人的闹铃,捧场
13,太萌了，本来在地里耕田的，一看到姐姐的自拍就跟打了鸡血一样，我一脚把牛踢开了 自己耕了20亩地，假如百年之后，若有强敌入侵，还请在我坟头放此美照，吾自当破土而出守我华夏，击退强敌……,捧场
14,似乎一切都有期限，这样多无趣，我还是喜欢一切无规律可循的事，比方我躺树下看星空 姐姐突然掉下砸我怀里,捧场
15,朕的百灵鸟 今晚就让苏培盛去接你,捧场
16,中通 申通 圆通 都不及我看到老婆的心扑通扑通,捧场
17,呜呜呜 我没有其他小狗会说 只能喊老婆～（摇尾巴）,捧场
18,晚上记得把窗户锁好，我这个人带麻袋爬窗很快的,捧场
19,那年杏花微雨，姐姐抛下我和孩子就去了城里，现在姐姐过的风生水起 还记不记得乡下的我和孩子。,捧场
20,能晚点嫁人吗 双色球我每期都在买了,捧场
21,姐姐我遇见你就像东北人吃面 毫无剩蒜,捧场
22,不知道你喜欢什么颜色的麻袋所以我都准备好了 这就把你偷回家,捧场
23,我真的陷入爱情了，每天都这么心动,捧场
24,绝味都找不到这么绝的锁骨！,捧场
25,你是在女娲那儿充了VIP吗？,捧场
26,我看见你，这感觉就像在～ 撞撞 ～小鹿乱撞 you make me drunk I say you make me drunk I pretty sure 你是美酒🍷🍷🍷年下中的拉菲 把你摇晃在我的酒杯散发伊甸园🍇🍇🍇里的香味 无法扺抗你的完美🥵🥵🥵我也想要和你醉🥂🥂🥂,捧场
27,我就是稍微问一句 绝对没有冒犯的意思 也可能是我搞错了 又或者其实我是出现了幻觉 不管怎么样 我都希望我们能秉持着友好理性的相处原则 不要因为一些可能的误会伤害了我们之间的友谊 最后再说一句 我绝对没有冒犯的意思 只是本着对于宇宙本质的伟大探究精神以及求真务实的精神发问:“你好，结婚吗？”,捧场
28,嫁我。（这句话虽然只有短短两个字，却透露出一丝高冷与漫不经心的从容，与人放荡不羁的身影相得益彰，结尾的句号礼貌又不失疏离感恰如其分地显示了本人高贵而优雅的气质美女你真是皎如玉树绝世无其二温其如玉乱我心绪盛世美颜恃靓行凶教科书级别的美貌）,捧场
29,你好，刚从美国回来，秀一段英语l love you,捧场
30,看到这张脸我会给世界一些好脸色,捧场
31,姐姐开门，我是姐夫,捧场
32,姐姐，等会儿放学要不要一起走,捧场
33,这颜值我给你打97分，别问我为什么，因为骑着摩托车等红灯时，为了看清楚你，把头盔摘下来被扣了3分,捧场
34,可恶...刚哄好自己长的是耐看型,捧场
35,死丫头，把我的心骗走了,捧场
36,oi小鬼你知道天气为什么这么热吗？因为想你想的燥热啊！o.o,捧场
37,我滴妈，你是要迷死我这个北京太子爷，资产过百亿美元，男的，很帅，土象，圈子小，三观正，会哄你，偶尔会有点小脾气，吵架会低头，目前在马来西亚读博士明年去美国做导师的18岁男子吗？,捧场
38,我其实根本没有被主播迷倒 我就是在跟她博弈 我装作被她迷得神魂颠倒 其实这都是我计划里的一部分 一切都在按计划进行 你们都别说了 我其实自有打算,捧场
39,绝味都找不到这么绝的锁骨,捧场
40,看手还以为是手模呢，没想到一露脸是维密超模,捧场
41,他爸的中国尤物,捧场
42,开播，我立马刷礼物,捧场
43,大家好，我是秦始皇，我醒来时发现自己在现在这个奇怪的地方，只要你们把图片里这个美人送到我身边来我就能回到秦朝，等我回去就赏你们黄金万两,捧场
44,不萌则已，一萌惊人,捧场
45,这位更是妈妈级别,捧场
46,我将故意走到你前面做空气投篮,捧场
47,我再说一遍，轮到我谈了,捧场
48,姐不白看，姐给你点赞（暗示点赞）,捧场
49,老师，我想知道一下。如果你的现老婆和前老婆掉进水里，我可以做你的新老婆吗,捧场
50,萌物中的萌物 萌物中的统治者 萌物之主 萌物的终结者 萌王 萌师 萌神 压倒性萌物 萌物史上永垂不朽的巅峰,捧场
51,妲己可以眩晕我,捧场
52,5秒，张良可以控制我,捧场
53,2秒。东皇也可以控制我,捧场
54,2秒，墨子大招能眩晕我,捧场
55,3秒。弈星大招可以限制我四秒。老夫子大招能困住我五秒。可是姐姐的魅力却困了我一辈子。,捧场
56,我将尾随你并偷闻香气,捧场
57,yes成功引起你的注意,捧场
